"Name","Path","RiskScore","RiskReasons","ReferenceCount","ReferencedBy","OutputTables","IsTestFolder","IsTestName","IsDuplicate","CreatedDate","ModifiedDate"
"raw_credible_brs.Dataflow","Credible\raw_credible_brs.Dataflow\mashup.pq","10","Referenced by 1 other flows - NOT SAFE TO DELETE","1","credible_brs_transform.Dataflow","raw_credible_brs_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"raw_credible_lookup_dict.Dataflow","Credible\raw\raw_credible_lookup_dict.Dataflow\mashup.pq","10","Referenced by 1 other flows - NOT SAFE TO DELETE","1","credible_brs_transform.Dataflow","raw_credible_lookup_dict_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"raw-netsuite-gl-ssvf.Dataflow","admin\NetSuite\raw-netsuite-gl-ssvf.Dataflow\mashup.pq","10","Referenced by 1 other flows - NOT SAFE TO DELETE","1","ssvf_gl.Dataflow","raw-netsuite-gl-ssvf_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:44 PM"
"ssvf_gl.Dataflow","ssvf_gl.Dataflow\mashup.pq","10","Referenced by 1 other flows - NOT SAFE TO DELETE","1","raw-netsuite-gl-ssvf.Dataflow","raw-netsuite-gl-ssvf_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"trans_caddo_jcampus_idLocator.Dataflow","trans_caddo_jcampus_idLocator.Dataflow\mashup.pq","10","Referenced by 1 other flows - NOT SAFE TO DELETE","1","caddo-census.Dataflow","raw_caddo_census_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_caddo_attend_summary.Dataflow","jcampus\raw\raw_caddo_attend_summary.Dataflow\mashup.pq","10","Referenced by 2 other flows - NOT SAFE TO DELETE","2","cis_jcampus_joins.Dataflow, raw_caddo_locator.Dataflow","caddo_attend_summary_DataDestination","False","False","False","1/14/2026 10:48:00 AM","1/14/2026 10:48:00 AM"
"raw_cisdm_progress_monitoring.Dataflow","cisdm\raw\raw_cisdm_progress_monitoring.Dataflow\mashup.pq","10","Referenced by 2 other flows - NOT SAFE TO DELETE","2","cis_jcampus_joins.Dataflow, jcampus_caddo_test_transforms.Dataflow","Progress Monitoring_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"trans_lsndc_clients.Dataflow","lsndc\transformations\trans_lsndc_clients.Dataflow\mashup.pq","10","Referenced by 2 other flows - NOT SAFE TO DELETE","2","active_lsndc_clients.Dataflow, active_lsndc_clients.Dataflow","all_lsndc_clients_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"lighthhouse_dates.Dataflow","servicepoint\lighthhouse_dates.Dataflow\mashup.pq","10","Referenced by 3 other flows - NOT SAFE TO DELETE","3","cis_jcampus_joins.Dataflow, stage5_sessions_possible.Dataflow, lighthouse_client_attend_final.Dataflow","lighthouse_dates_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/5/2026 3:11:48 PM"
"stage4_sessions_attended.Dataflow","servicepoint\transformations\Lighthouse Attendance\stage4_sessions_attended.Dataflow\mashup.pq","10","Referenced by 3 other flows - NOT SAFE TO DELETE","3","stage2_clean_services.Dataflow, stage2_clean_services.Dataflow, stage6_attendance_final.Dataflow","lighthouse_sessions_attended_DataDestination","False","False","False","1/6/2026 11:02:08 AM","1/6/2026 11:28:25 AM"
"raw_ns_byrnes_invoices.Dataflow","admin\raw_ns_byrnes_invoices.Dataflow\mashup.pq","10","Referenced by 5 other flows - NOT SAFE TO DELETE","5","raw_credible_brs_cross.Dataflow, raw_credible_brs.Dataflow, jcampus_caddo_test_transforms.Dataflow, raw_ssvf_workflow.Dataflow, trans_sp_lighthouse_registration.Dataflow","","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"jcampus_caddo_test_transforms.Dataflow","jcampus\transforms\jcampus_caddo_test_transforms.Dataflow\mashup.pq","10","Referenced by 6 other flows - NOT SAFE TO DELETE","6","raw_cisdm_progress_monitoring.Dataflow, cis_jcampus_joins.Dataflow, raw_caddo_tests.Dataflow, raw_cisdm_progress_monitoring.Dataflow, cisdm_progress_monitoring_trans.Dataflow, cis_jcampus_joins.Dataflow","cis_dibels_DataDestination","True","True","False","1/2/2026 12:06:44 PM","1/14/2026 10:48:00 AM"
"servicepoint_services_transform.Dataflow","staging\ServicePoint\servicepoint_services_transform.Dataflow\mashup.pq","10","Referenced by 6 other flows - NOT SAFE TO DELETE","6","client served transform.Dataflow, raw_sp_services.Dataflow, active-client-service-counts.Dataflow, stage2_clean_services.Dataflow, lighthouse_client_attend_final.Dataflow, stage2_clean_services.Dataflow","lighthouse_services_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"stage5_sessions_possible.Dataflow","servicepoint\transformations\Lighthouse Attendance\stage5_sessions_possible.Dataflow\mashup.pq","10","Referenced by 7 other flows - NOT SAFE TO DELETE","7","stage3_client_master.Dataflow, stage6_attendance_final.Dataflow, lighthouse_grades_transform.Dataflow, cis_jcampus_joins.Dataflow, lighthhouse_dates.Dataflow, lighthouse_client_attend_final.Dataflow, stage6_attendance_final.Dataflow","lighthouse_sessions_possible_DataDestination","False","False","False","1/6/2026 11:02:08 AM","1/6/2026 11:28:25 AM"
"stage1_clean_entries.Dataflow","servicepoint\transformations\Lighthouse Attendance\stage1_clean_entries.Dataflow\mashup.pq","10","Referenced by 8 other flows - NOT SAFE TO DELETE","8","raw_sp_entries.Dataflow, active_sp_clients.Dataflow, lighthouse_client_attend_final.Dataflow, sp_client_int_id_staging.Dataflow, stage2_clean_services.Dataflow, stage3_client_master.Dataflow, lighthouse_grades_transform.Dataflow, stage2_clean_services.Dataflow","clean_lighthouse_entries_DataDestination","False","False","False","1/6/2026 12:47:08 PM","1/6/2026 12:47:08 PM"
"stage1_clean_entries.Dataflow","servicepoint\transformations\lighthouse_pipeline\stage1_clean_entries.Dataflow\mashup.pq","10","Referenced by 8 other flows - NOT SAFE TO DELETE","8","raw_sp_entries.Dataflow, active_sp_clients.Dataflow, lighthouse_client_attend_final.Dataflow, sp_client_int_id_staging.Dataflow, stage2_clean_services.Dataflow, stage3_client_master.Dataflow, lighthouse_grades_transform.Dataflow, stage2_clean_services.Dataflow","","False","False","False","1/6/2026 10:35:57 AM","1/6/2026 10:36:09 AM"
"staging-credible-clients-episodes.Dataflow","staging\Credible\staging-credible-clients-episodes.Dataflow\mashup.pq","10","Referenced by 8 other flows - NOT SAFE TO DELETE","8","raw_credible_clients.Dataflow, raw_credible_fep_assessment.Dataflow, credible_assessment_track_transform.Dataflow, staging_credible_addresses.Dataflow, raw_credible_episodes.Dataflow, employee_supervision.Dataflow, raw_credible_fep_assessment.Dataflow, credible_assessment_track_transform.Dataflow","transform-credible-clients-active_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"credible_outreach_transforms.Dataflow","Credible\transformations\credible_outreach_transforms.Dataflow\mashup.pq","10","Referenced by 10 other flows - NOT SAFE TO DELETE","10","raw-credible-services.Dataflow, client served transform.Dataflow, raw-credible-services.Dataflow, raw_cred_assess_assignment.Dataflow, active_credible_clients.Dataflow, employee_supervision.Dataflow, credible_paycor_merge.Dataflow, raw_credible_fep_assessment.Dataflow, credible_assessment_track_transform.Dataflow, transform-credible-services-2.Dataflow","raw_credible_outreach_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"credible_paycor_merge.Dataflow","credible_paycor_merge.Dataflow\mashup.pq","10","Referenced by 10 other flows - NOT SAFE TO DELETE","10","client served transform.Dataflow, raw-credible-services.Dataflow, raw_cred_assess_assignment.Dataflow, active_credible_clients.Dataflow, credible_outreach_transforms.Dataflow, employee_supervision.Dataflow, raw_credible_fep_assessment.Dataflow, credible_assessment_track_transform.Dataflow, transform-credible-services-2.Dataflow, raw_paycor_pipe.Dataflow","Appended FEP Billing_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_cred_assess_assignment.Dataflow","Credible\raw\raw_cred_assess_assignment.Dataflow\mashup.pq","10","Referenced by 10 other flows - NOT SAFE TO DELETE","10","credible_assessment_track_transform.Dataflow, client served transform.Dataflow, raw-credible-services.Dataflow, active_credible_clients.Dataflow, credible_outreach_transforms.Dataflow, employee_supervision.Dataflow, credible_paycor_merge.Dataflow, raw_credible_fep_assessment.Dataflow, credible_assessment_track_transform.Dataflow, transform-credible-services-2.Dataflow","raw_cred_assess_assignment_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"stage2_clean_services.Dataflow","servicepoint\transformations\Lighthouse Attendance\stage2_clean_services.Dataflow\mashup.pq","10","Referenced by 10 other flows - NOT SAFE TO DELETE","10","client served transform.Dataflow, raw_sp_services.Dataflow, active-client-service-counts.Dataflow, lighthouse_client_attend_final.Dataflow, servicepoint_services_transform.Dataflow, stage1_clean_entries.Dataflow, stage3_client_master.Dataflow, lighthouse_grades_transform.Dataflow, stage1_clean_entries.Dataflow, stage4_sessions_attended.Dataflow","clean_lighthouse_services_DataDestination","False","False","False","1/6/2026 12:47:08 PM","1/6/2026 12:47:08 PM"
"stage2_clean_services.Dataflow","servicepoint\transformations\lighthouse_pipeline\stage2_clean_services.Dataflow\mashup.pq","10","Referenced by 10 other flows - NOT SAFE TO DELETE","10","client served transform.Dataflow, raw_sp_services.Dataflow, active-client-service-counts.Dataflow, lighthouse_client_attend_final.Dataflow, servicepoint_services_transform.Dataflow, stage1_clean_entries.Dataflow, stage3_client_master.Dataflow, lighthouse_grades_transform.Dataflow, stage1_clean_entries.Dataflow, stage4_sessions_attended.Dataflow","","False","False","False","1/6/2026 10:36:23 AM","1/6/2026 10:36:37 AM"
"trans_sp_lighthouse_registration.Dataflow","staging\ServicePoint\trans_sp_lighthouse_registration.Dataflow\mashup.pq","10","Referenced by 10 other flows - NOT SAFE TO DELETE","10","raw_lh_full_registration.Dataflow, raw_sp_lighthouse_reg.Dataflow, stage3_client_master.Dataflow, lighthouse_client_attend_final.Dataflow, raw_sp_clients_new.Dataflow, stage2_clean_services.Dataflow, lighthouse_client_attend_final.Dataflow, stage2_clean_services.Dataflow, staging-credible-clients-episodes.Dataflow, lighthouse_cis_comb.Dataflow","sp_entry_table_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"active-client-service-counts.Dataflow","servicepoint\transformations\active-client-service-counts.Dataflow\mashup.pq","10","Referenced by 12 other flows - NOT SAFE TO DELETE","12","active_sp_clients.Dataflow, active_sp_client_counts.Dataflow, active_sp_clients.Dataflow, active_sp_client_counts.Dataflow, client served transform.Dataflow, raw_sp_services.Dataflow, stage2_clean_services.Dataflow, lighthouse_client_attend_final.Dataflow, stage2_clean_services.Dataflow, servicepoint_services_transform.Dataflow, raw_sp_clients_new.Dataflow, sp_client_int_id_staging.Dataflow","active_lh_comm_clients_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"employee_supervision.Dataflow","Credible\transformations\employee_supervision.Dataflow\mashup.pq","10","Referenced by 13 other flows - NOT SAFE TO DELETE","13","client served transform.Dataflow, raw-credible-services.Dataflow, raw_cred_assess_assignment.Dataflow, active_credible_clients.Dataflow, credible_outreach_transforms.Dataflow, credible_paycor_merge.Dataflow, raw_credible_fep_assessment.Dataflow, credible_assessment_track_transform.Dataflow, transform-credible-services-2.Dataflow, raw_credible_episodes.Dataflow, raw_credible_fep_assessment.Dataflow, credible_assessment_track_transform.Dataflow, staging-credible-clients-episodes.Dataflow","individual supervision_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"active_sp_client_counts.Dataflow","servicepoint\transformations\active_sp_client_counts.Dataflow\mashup.pq","10","Referenced by 14 other flows - NOT SAFE TO DELETE","14","active_sp_clients.Dataflow, choice_intake_transform.Dataflow, active_sp_clients.Dataflow, active_sp_clients.Dataflow, active_sp_clients.Dataflow, active_sp_clients.Dataflow, active-client-service-counts.Dataflow, active_sp_clients.Dataflow, active-client-service-counts.Dataflow, active_sp_clients.Dataflow, active_sp_clients.Dataflow, active_sp_clients.Dataflow, active_sp_clients.Dataflow, active_sp_clients.Dataflow","active_sp_counts_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"credible_assessment_track_transform.Dataflow","staging\Credible\credible_assessment_track_transform.Dataflow\mashup.pq","10","Referenced by 14 other flows - NOT SAFE TO DELETE","14","raw_cred_assess_assignment.Dataflow, client served transform.Dataflow, raw-credible-services.Dataflow, raw_cred_assess_assignment.Dataflow, active_credible_clients.Dataflow, credible_outreach_transforms.Dataflow, employee_supervision.Dataflow, credible_paycor_merge.Dataflow, raw_credible_fep_assessment.Dataflow, transform-credible-services-2.Dataflow, raw_credible_clients.Dataflow, raw_credible_fep_assessment.Dataflow, staging-credible-clients-episodes.Dataflow, staging_credible_addresses.Dataflow","transform_enrolled_credible_clients_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"client served transform.Dataflow","client served transform.Dataflow\mashup.pq","10","Referenced by 21 other flows - NOT SAFE TO DELETE","21","raw_sp_services.Dataflow, active-client-service-counts.Dataflow, stage2_clean_services.Dataflow, lighthouse_client_attend_final.Dataflow, stage2_clean_services.Dataflow, servicepoint_services_transform.Dataflow, raw-credible-services.Dataflow, raw_cred_assess_assignment.Dataflow, active_credible_clients.Dataflow, credible_outreach_transforms.Dataflow, employee_supervision.Dataflow, credible_paycor_merge.Dataflow, raw_credible_fep_assessment.Dataflow, credible_assessment_track_transform.Dataflow, transform-credible-services-2.Dataflow, raw_lsndc_services.Dataflow, gpd_entry_transforms.Dataflow, raw_cisdm_caseManagement_entries.Dataflow, raw_credible_eligibility.Dataflow, staging_credible_addresses.Dataflow, raw_sp_client_addresses.Dataflow","cred_sp_lsndc_services_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_program_documentation.Dataflow","admin\raw\raw_program_documentation.Dataflow\mashup.pq","10","Referenced by 24 other flows - NOT SAFE TO DELETE","24","raw_paf_submission.Dataflow, cisdm_progress_monitoring_trans.Dataflow, cis_accred_transforms.Dataflow, cis_jcampus_joins.Dataflow, raw-credible-brs.Dataflow, raw_credible_clients.Dataflow, raw_credible_episodes.Dataflow, credible_brs_transform.Dataflow, hmis_csv_ingest.Dataflow, arkansas_xml_export.Dataflow, hmis_export_ingest.Dataflow, raw_lsndc_clients.Dataflow, raw_lsndc_entries.Dataflow, active_lsndc_clients.Dataflow, gpd_entry_transforms.Dataflow, raw_lsndc_tfa.Dataflow, raw_sp_entries.Dataflow, active_sp_clients.Dataflow, choice_intake_transform.Dataflow, choice_jcampus_transforms.Dataflow, stage3_client_master.Dataflow, stage6_attendance_final.Dataflow, lighthouse_grades_transform.Dataflow, sp_client_int_id_staging.Dataflow","","False","False","False","1/14/2026 10:48:00 AM","1/14/2026 10:48:00 AM"
"raw-credible-brs.Dataflow","Credible\raw\raw-credible-brs.Dataflow\mashup.pq","10","Referenced by 24 other flows - NOT SAFE TO DELETE","24","raw_paf_submission.Dataflow, raw_program_documentation.Dataflow, cisdm_progress_monitoring_trans.Dataflow, cis_accred_transforms.Dataflow, cis_jcampus_joins.Dataflow, raw_credible_clients.Dataflow, raw_credible_episodes.Dataflow, credible_brs_transform.Dataflow, hmis_csv_ingest.Dataflow, arkansas_xml_export.Dataflow, hmis_export_ingest.Dataflow, raw_lsndc_clients.Dataflow, raw_lsndc_entries.Dataflow, active_lsndc_clients.Dataflow, gpd_entry_transforms.Dataflow, raw_lsndc_tfa.Dataflow, raw_sp_entries.Dataflow, active_sp_clients.Dataflow, choice_intake_transform.Dataflow, choice_jcampus_transforms.Dataflow, stage3_client_master.Dataflow, stage6_attendance_final.Dataflow, lighthouse_grades_transform.Dataflow, sp_client_int_id_staging.Dataflow","raw-credible-brs_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"choice_intake_transform.Dataflow","servicepoint\transformations\choice_intake_transform.Dataflow\mashup.pq","10","Referenced by 25 other flows - NOT SAFE TO DELETE","25","raw_sp_choice_intake.Dataflow, raw_paf_submission.Dataflow, raw_program_documentation.Dataflow, cisdm_progress_monitoring_trans.Dataflow, cis_accred_transforms.Dataflow, cis_jcampus_joins.Dataflow, raw-credible-brs.Dataflow, raw_credible_clients.Dataflow, raw_credible_episodes.Dataflow, credible_brs_transform.Dataflow, hmis_csv_ingest.Dataflow, arkansas_xml_export.Dataflow, hmis_export_ingest.Dataflow, raw_lsndc_clients.Dataflow, raw_lsndc_entries.Dataflow, active_lsndc_clients.Dataflow, gpd_entry_transforms.Dataflow, raw_lsndc_tfa.Dataflow, raw_sp_entries.Dataflow, active_sp_clients.Dataflow, choice_jcampus_transforms.Dataflow, stage3_client_master.Dataflow, stage6_attendance_final.Dataflow, lighthouse_grades_transform.Dataflow, sp_client_int_id_staging.Dataflow","active_choice_with_intake_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/14/2026 10:48:00 AM"
"active_lsndc_clients.Dataflow","lsndc\transformations\active_lsndc_clients.Dataflow\mashup.pq","10","Referenced by 27 other flows - NOT SAFE TO DELETE","27","trans_lsndc_clients.Dataflow, trans_lsndc_clients.Dataflow, trans_lsndc_clients.Dataflow, raw_paf_submission.Dataflow, raw_program_documentation.Dataflow, cisdm_progress_monitoring_trans.Dataflow, cis_accred_transforms.Dataflow, cis_jcampus_joins.Dataflow, raw-credible-brs.Dataflow, raw_credible_clients.Dataflow, raw_credible_episodes.Dataflow, credible_brs_transform.Dataflow, hmis_csv_ingest.Dataflow, arkansas_xml_export.Dataflow, hmis_export_ingest.Dataflow, raw_lsndc_clients.Dataflow, raw_lsndc_entries.Dataflow, gpd_entry_transforms.Dataflow, raw_lsndc_tfa.Dataflow, raw_sp_entries.Dataflow, active_sp_clients.Dataflow, choice_intake_transform.Dataflow, choice_jcampus_transforms.Dataflow, stage3_client_master.Dataflow, stage6_attendance_final.Dataflow, lighthouse_grades_transform.Dataflow, sp_client_int_id_staging.Dataflow","active_lsndc_clients_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"choice_jcampus_transforms.Dataflow","servicepoint\transformations\choice_jcampus_transforms.Dataflow\mashup.pq","10","Referenced by 27 other flows - NOT SAFE TO DELETE","27","sp_client_int_id_staging.Dataflow, cis_jcampus_joins.Dataflow, caddo_grades_transforms.Dataflow, raw_paf_submission.Dataflow, raw_program_documentation.Dataflow, cisdm_progress_monitoring_trans.Dataflow, cis_accred_transforms.Dataflow, cis_jcampus_joins.Dataflow, raw-credible-brs.Dataflow, raw_credible_clients.Dataflow, raw_credible_episodes.Dataflow, credible_brs_transform.Dataflow, hmis_csv_ingest.Dataflow, arkansas_xml_export.Dataflow, hmis_export_ingest.Dataflow, raw_lsndc_clients.Dataflow, raw_lsndc_entries.Dataflow, active_lsndc_clients.Dataflow, gpd_entry_transforms.Dataflow, raw_lsndc_tfa.Dataflow, raw_sp_entries.Dataflow, active_sp_clients.Dataflow, choice_intake_transform.Dataflow, stage3_client_master.Dataflow, stage6_attendance_final.Dataflow, lighthouse_grades_transform.Dataflow, sp_client_int_id_staging.Dataflow","","False","False","False","1/14/2026 10:48:00 AM","1/14/2026 10:48:00 AM"
